Adriatic Luxury Hotels,"Hotel Excelsior, Dubrovnik",56,3,DBVEXCELSIOR
,"Hotel Fabris, Korcula",56,1,KORFABRIS
,"Hotel Fenomen, Plitvice",56,15,PLIFENOMEN
,"Hotel International, Zagreb",56,5,ZAGINTERNA
,"Hotel Jagerhorn, Zagreb",56,5,ZAGJAGERHORN
,"Hotel Jarun, Zagreb",56,5,ZAGJARUN
,"Hotel Kastel, Motovun",56,27,MOTKASTEL
,"Hotel Kazbek, Dubrovnik",56,3,DBVKAZBEK
Adriatic Luxury Hotels,"Hotel Kompas, Dubrovnik",56,3,DBVKOMPAS
,"Hotel Korsal, Korcula",56,1,KORKORSAL
,"Hotel Lapad, Dubrovnik",56,3,DBVLAPAD
,"Hotel Lemongarden, Sutivan",56,28,SUTLEMONGARDEN
,"Hotel Lero, Dubrovnik",56,3,DBVLERO
Aminess Hotels,"Aminess Liburna Hotel , Korcula",56,1,KORLIBURNA
,"Hotel Luxe, Split",56,2,SPLLUXE
,"Hotel Lyra Plitvice, Plitvice",56,15,PLILYRA
,"Hotel Marul, Split",56,2,SPLMARUL
,"Hotel More, Dubrovnik",56,3,DBVMORE
,"Hotel Navis, Opatija",56,18,OPANAVIS
,"Hotel Niko, Zadar",56,21,ZADNIKO
,"Hotel Odisej, Mljet",56,13,MILODISEJ
,"Hotel Ora, Split",56,2,SPLORA
,"Hotel Osam, Supetar",56,29,SUPOSAM
,"Hotel Osejava, Makarska",56,30,MAKOSEJAVA
,"Hotel Palcich, Plitvice Lakes",56,7,PLIPALCI
,"Hotel Park, Split",56,2,SPLPARK
,"Hotel Pasike, Trogir",56,19,TROPASIKE
,"Hotel Peristil, Split",56,2,SPLPERISTIL
,"Hotel Podstine, Hvar",56,4,HVAPODSTINE
,"Hotel Posh, Split",56,2,SPLPOSH
,"Hotel San Giorgio, Vis",56,31,VISSANGIORGIO
,"Hotel Savoy, Opatija",56,18,OPASAVOY
,"Hotel Sipan, Sipan",56,25,SIPSIPAN
,"Hotel Stari Grad, Dubrovnik",56,3,DBVSTARIGRAD
,"Hotel Trogir Palace, Trogir",56,19,TROPALACE
,"Hotel Uvala, Dubrovnik",56,3,DBVUVALA
,"Hotel Vestibul Palace, Split",56,2,SPLVESTIBUL
,"Hotel Villa Ariston, Opatija",56,18,OPAVILARISTON
,"Hotel Villa Kapetanovic, Opatija",56,18,OPAVILKAPETANO
,"Hotel Zagreb, Dubrovnik",56,3,DBVZAGREB
,"Huma Hotel Kotor Bay, Kotor",56,8,KOTHUMA
,"Jupiter Heritage Hotel, Split",56,2,SPLJUPITER
Aminess Hotels,"Aminess Korcula Heritage Hotel, Korcula",56,1,KORDELAVILLE
,"Lafodia Hotel and Resort, Lopud",56,32,LOPLAFODIA
,"Le Meridien Lav, Split",56,2,SPLLEMERIDIEN
,"Lesic Dimitri Palace, Korcula",56,1,KORLESICDIMITRI
,"Lifestyle Hotel Vitar, Bol",56,20,BOLLIFEVITAR
Maistra Hotels,"Hotel Lone, Rovinj",56,16,ROVLONE
Aminess Hotels,"Marko Polo Hotel, Korcula",56,1,KORMARKOPOLO
,"Marmont Hotel Heritage, Split",56,2,SPLMARMONT
,"Marvie Hotel and Health, Split",56,2,SPLMARVIE
,Meneghetti Wine Hotel & Winery,56,33,CROMENGH
Maistra Hotels,"Monte Mulini Hotel, Rovinj",56,16,ROVMONTEMULINI
,"Neptun Hotel, Dubrovnik",56,3,DBVNEPTUNE
,"Oasi - Boutique Hotel & Restaurant, Pula",56,23,PULOASI
,"One Suite Hotel, Dubrovnik",56,3,DBVONESUITE
Suncani Hvar,"Palace Elisabeth Hvar Heritage Hotel, Hvar",56,4,HVAELISABETHPAL
,"Palace Hotel, Zagreb",56,5,ZAGPALACE
,"Palace Judita Heritage Hotel, Split",56,2,SPLJUDITAPALACE
,"Palace Suites Heritage Hotel, Split",56,2,SPLPALACESUITES
,"Park Plaza Arena Pula, Pula",56,23,PULPPARENA
,"Park Plaza Histria Pula, Pula",56,23,PULPPHISTRIA
,"Park Plaza Verudela, Pula",56,23,PULVERUPARKPLAZ
Suncani Hvar,"Pharos Hvar Bayhill Hotel, Hvar",56,4,HVAPHAROSBAY
,"Piazza Heritage Hotel, Split",56,2,SPLPIAZZA
,"Plaza Marchi Old Town, Split",56,2,SPLMAROT
,"Plitvice Miric Inn, Plitvice",56,15,PLIMIRICINN
Aminess Hotels,"Aminess Port 9 Hotel, Korcula",56,1,KORPORT9
,"Radisson Blu Resort and Spa, Split",56,2,SPLRADIBLU
Liburnia Hotels,"Hotel Admiral, Opatija",56,18,OPAREMIADMIRAL
Liburnia Hotels,"Heritage Hotel Imperial, Opatija",56,18,OPARPHERITAGE
Liburnia Hotels,"Hotel Ambasador, Opatija",56,18,OPARPAMBASADOR
Liburnia Hotels,"Hotel Kvarner, Opatija",56,18,OPARPKVARNER
,"Residence Rovinj, Rovinj",56,16,ROVRESIDENCE
Suncani Hvar,"Riva Yacht Harbour Hotel, Hvar",56,4,HVARIVAYACHT
,"Rixos Libertas Dubrovnik, Dubrovnik",56,3,DBVRIXOSLIBERTA
,"Royal Blue Hotel, Dubrovnik",56,3,DBVROYALBLUE
,"Royal Princess Hotel, Dubrovnik",56,3,DBVROYALPRINCES
,"Royal Suites, Split",56,2,SPLROYALESUITES
,"Sheraton Dubrovnik Riviera Hotel, Dubrovnik",56,3,DBVSHERATON
,"Sheraton Zagreb Hotel, Zagreb",56,5,ZAGSHERATON
,"Spirito Santo Palazzo Storico, Rovinj",56,16,ROVSPIRITOSANTO
,"Splendida Palace, Split",56,2,SPLSPLENDI
,"St. Joseph's Boutique Hotel, Dubrovnik",56,3,DBVSTJOSEPH
,"Sun Gardens Hotel, Dubrovnik",56,3,CROSUNGARDENS
,"Taras Lodge, Korcula",56,1,KORTARASLODGE
,"The Melegran, Rovinj",56,16,ROVMEL
,"The Pucic Palace, Dubrovnik",56,3,DBVPUCICPALACE
,"The Westin Zagreb, Zagreb",56,5,ZAGWESTIN
Valamar Hotels,"Valamar Argosy Hotel, Dubrovnik",56,3,DBVVALAARGOSY
Valamar Hotels,"Valamar Collection Dubrovnik President Hotel, Dubrovnik",56,3,DBVVALAPRESIDEN
Valamar Hotels,"Valamar Crystal Hotel, Porec",56,34,PORVALAMCRYSTAL
Valamar Hotels,"Valamar Isabella Island Resort, Porec",56,34,PORVALAMISABEL
Valamar Hotels,"Valamar Lacroma Dubrovnik Hotel, Dubrovnik",56,3,DBVVALALACROMA
Valamar Hotels,"Valamar Riviera Hotel & Residence, Porec",56,34,PORVALAMRIVIERA
,"Villa Allure of Dubrovnik, Dubrovnik",56,3,DBVVILALLURE
,"Villa Dubrovnik, Dubrovnik",56,3,DBVVILDUBROVNIK
,"Villa Giardino, Bol",56,20,BOLGIARDINO
,"Villa Glavic, Dubrovnik",56,3,DBVVILGLAVIC
,"Villa Lika, Plitvice",56,15,PLIVILLIKA
,"Villa Nepos, Split",56,2,SPLVILLANEPOS
,"Villa Nora, Hvar",56,4,HVAVILNORA
,"Villa Orsula, Dubrovnik",56,3,DBVVILORSULA
,"Villa Split Heritage Hotel, Split",56,2,SPLVILHERITAGE
,"Villa Toni Design Apartments, Split",56,2,SPLVILTON
,"Villa Tuttorotto, Rovinj",56,16,ROVVILTUTTORO
,Wine and Heritage Hotel Roxanich,56,35,MOTWINEHERITAGE
,"XII Century Heritage Hotel, Trogir",56,19,TROXIICENTURY
,"Duodo Palace Hotel, Venice",56,36,VENDUOP
,"Hotel Nani Mocenigo, Venice",56,36,VENNAMO
,"Palazzo Giovanelli & Gran Canal, Venice",56,36,VENPALGIO
,"Aman Resort, Sveti Stefan",150,37,SVEAMAN
,"Amfora Casa Del Mare, Kotor",150,38,KOTAMCDM
,"Boutique Hotel Hippocampus, Kotor",150,38,KOTHIPPOCAMPUS
,"Dukley Hotel and Resort, Budva",150,39,BUDDUKLEY
,"Hotel Astoria, Kotor",150,38,KOTASTORIA
,"Hotel Budva, Budva",150,39,BUDBUDVA
,"Hotel Conte, Perast",150,40,PERCONTE
,"Hotel Forza Mare, Kotor",150,38,KOTFORZAMARE
,"Hotel Forza Terra, Kotor",150,38,KOTFORZATERRA
,"Hotel Monte Cristo, Kotor",150,38,KOTMONTECRISTO
,"Hotel Porto IN, Kotor",150,38,KOTPORTOIN
,"Hotel Vardar, Kotor",150,38,KOTVARDAR
,"La Perla Hotel, Tivat",150,41,TIVLAPERLA
,"La Roche Hotel, Tivat",150,41,TIVLAROCHE
,"Maestral Resort and Casino, Sveti Stefan",150,37,SVEMAESTRAL
